Name,pKa,Center,Index,Smiles,Error
1404779,6.3,N,3,O=C(C[NH+]1CCC(S(=O)(=O)c2ccccc2)CC1)c1ccc(F)cc1F,0
15034264,3.91,O,0,OC(=O)[C@@H](Cc1cc2ccc(F)cc2[nH]1)NC(=O)Cc1cccc2ccccc12,0
10951465,7.9,N,13,O=C(Cc1ccccc1)NC1CC[NH+](CCCN2C(=O)COc3ccccc32)CC1,0
299941,5.8,N,9,O=C(N1CCN(c2cc[nH+]cc2Cl)CC1)N1CCN(S(=O)(=O)c2ccc(Cl)cc2)CC1,0
13840148,9.2,N,21,O=C(N1CCOCC1)N1CCC(Oc2ccc3c(c2)CC[NH+](C2CCC2)CC3)CC1,0
1806137,4.4,N,9,O=C(N=Cc1cccc[nH+]1)C1CCCC1C(=O)N1CCCC1,0
14540354,9.6,N,7,O=C(NC1CCC([NH+]2CCCCC2)CC1)[C@H]1C[C@@H]1c1ccccc1,0
894201,7.7,N,6,O=C(NC1CC[NH+](CCc2c[nH]c3ccccc23)CC1)c1ccccc1,0
2588377,2.63,N,11,O=C(NCC1CCCC1)c1c[nH+]c(Nc2ccc(Cl)cc2Cl)cc1C(F)(F)F,0
2588378,2.63,N,12,O=C(NCC1CCCCC1)c1c[nH+]c(Nc2cccc(Cl)c2)cc1C(F)(F)F,0
2588381,2.63,N,12,O=C(NCC1CCOCC1)c1c[nH+]c(Nc2ccc(Cl)cc2Cl)cc1C(F)(F)F,0
2588373,2.63,N,12,O=C(NCC1CCOCC1)c1c[nH+]c(Nc2cccc(F)c2)cc1C(F)(F)F,0
2385911,7.47,N,7,O=C(NCCCC[NH+]1CCN(c2cccc(OCCF)c2)CC1)c1ccc2nonc2c1,0
