Smiles,tanimoto_coefficient,Name,pKa,Center,Index,Source,Error
COc2ccc(CC[NH+](C)CCCC(C#N)(c1ccc(OC)c(OC)c1)C(C)C)cc2OC,0.35185185185185186,251_2,8.89,N,8,Moitessier,0.0
c1c(cc(c2c1COCO2)[NH+:13](CCCl)CCCl)Cl,0.2037037037037037,612_1,6.9,N,10,Moitessier/RBFmodel_Train,0.0
O=C3CSc2[nH+]cnc(N1CCOCC1)c2N3,0.18,2374,2.07,N,5,Moitessier,0.0
COc1cc[nH+:15]c(c1)CSc2[nH]c3ccccc3n2,0.35,634_1,5.3,N,5,Moitessier/RBFmodel_Train,0.0
CCOC([C@@H](C1)[C@@H](C(O)=O)NC1=O)=O,0.2777777777777778,2101,3.5,O,8,Moitessier,0.0
O=C(O)C(P)CCC(P)C(=O)[O-],0.3103448275862069,6573,4.45,O,2,Moitessier,0.0
Cc1n[nH]c2[nH+]cnc(N)c12,0.30952380952380953,5908,4.61,N,5,Moitessier,0.0
c2cc1CCCCc1c[nH+]2,0.30434782608695654,958,6.65,N,9,Moitessier,0.0
NC(C(CCCCC(O)=O)c1ccccc1)=O,0.3902439024390244,5775,4.79,O,8,Moitessier,0.0
COCCC[NH+](C)C,0.3,139,9.38,N,5,Moitessier/RBFmodel_Train,0.02
Cc1cccc(c1)C[NH+:13](CCO)CCO,0.375,490_1,7.0,N,8,Moitessier/RBFmodel_Train,0.0
Nc1[nH+]c[nH+]c(O)c1N,0.28,2041,1.34,N,4,Moitessier,0.0
CCCSCC[NH3+],0.3333333333333333,241,9.43,N,6,Moitessier,0.0
Cc3cc2[nH+]c1ccc(N(C)C)cc1nc2cc3N,0.2926829268292683,6268,7.5,N,4,Moitessier,0.0
C(C[NH2+]CC[NH2+]CCc1nnn[nH]1)c1nnn[n-]1,0.3170731707317073,619,4.09,N,12,Moitessier,0.0
Oc1ccncn1,0.34615384615384615,7209,8.61,O,0,Moitessier/RBFmodel_Test,0.02
Cn2c(CCl)[nH+]c1c(O)ccc(O)c12,0.23809523809523808,218,4.03,N,5,Moitessier,0.0
Cc1c(C)c(O)c(C)c(C)c1[O-],0.2727272727272727,5116,12.79,O,5,Moitessier,0.0
CC1CCCC(C(=O)[O-])[NH2+]1,0.325,3149,10.4,N,9,Moitessier,0.0
CCC(C)C([NH3+])C(=O)[O-],0.39285714285714285,2724,9.76,N,5,Moitessier,0.0
